from_stop_id,to_stop_id,transfer_type,min_transfer_time
2040,3893502,2,211
2312,3748098,2,226
2040,3893503,2,216
2110,4036934,2,229
2212,3749675,2,232
3764791,2040,2,195
2212,3749676,2,207
1677,3764648,2,270
2363,3813114,2,210
2363,3813113,2,225
2367,3764631,2,241
2312,3687424,2,127
1824,5121374,2,222
2363,3813112,2,225
2312,3687425,2,129
4036299,2374,2,203
1824,5121372,2,226
1824,5121373,2,254
2478,4211796,2,262
2478,4211795,2,206
4037298,1824,2,207
2367,3764637,2,278
2219,4036649,2,254
2219,4036648,2,216
2363,3813116,2,208
2367,3764630,2,190
2363,3813115,2,238
5761444,2208,2,226
1828,4472982,2,241
2312,4037040,2,145
1828,4472984,2,278
1735,3757955,2,225
1828,4472983,2,190
1672,2472,2,180
1735,3757954,2,225
3807563,1957,2,243
4028973,3449478,2,198
2230,3764644,2,247
1996,2186,2,84
3764758,1824,2,223
1996,4378105,2,208
4037785,1964,2,243
4996993,1953,2,225
1733,4045012,2,197
3343775,2487,2,180
3812920,2219,2,218
3764694,1735,2,38
3764698,2159,2,197
3812926,2312,2,176
2367,4770169,2,278
2367,4770168,2,190
2322,2222,2,150
2367,4770167,2,241
1964,3764548,2,254
4028973,3449469,2,221
1735,5138201,2,26
2040,4770193,2,277
2212,4211804,2,282
1735,5138202,2,54
2040,4651122,2,261
2472,3893354,2,202
1735,5138203,2,235
3813038,1824,2,238
2230,4036821,2,247
1957,3666619,2,243
5761442,1953,2,200
5709974,1729,2,215
5018334,1677,2,246
4037252,2363,2,213
5688899,2152,2,232
2442,4045010,2,232
3747907,2212,2,243
1975,4037042,2,247
5727626,2219,2,246
2110,2086,2,91
5761441,1957,2,243
4473151,2502,2,191
1677,3764611,2,246
2363,4473027,2,235
3807630,1677,2,270
2312,3442422,2,176
2312,3442423,2,198
5682059,2472,2,202
2208,3740501,2,199
2208,3740502,2,203
5710061,1742,2,204
2367,4036920,2,278
2363,4473029,2,229
2363,4473028,2,254
2363,4037037,2,216
2219,4036822,2,254
2230,3764618,2,268
1824,3887812,2,238
4726734,2466,2,285
5762026,2061,2,201
2374,4037045,2,203
4009667,1824,2,251
2482,2472,2,180
2061,3740300,2,229
5709976,2230,2,247
1731,4036999,2,232
1731,4036998,2,279
2219,3687302,2,234
3754199,2185,2,237
2110,4045031,2,201
4472870,2208,2,196
5727629,1964,2,248
2208,4036862,2,246
2077,1957,2,196
2208,4036861,2,198
2230,4036871,2,268
1957,4045033,2,282
2152,5018148,2,214
2363,3813156,2,251
5709978,1964,2,218
2185,4378088,2,216
2040,4770165,2,261
2185,4378089,2,208
1964,4770183,2,256
1964,4770181,2,243
5018389,2374,2,203
1964,4770182,2,199
2152,5018149,2,232
2061,3740339,2,201
2411,4045012,2,197
3343775,1677,2,180
1964,3764512,2,278
4009616,1824,2,226
2219,3442415,2,212
1964,3764511,2,282
2219,3442416,2,212
5018333,2034,2,283
1964,3764510,2,242
4028974,5138055,2,206
2312,3687472,2,226
1998,2185,2,104
1735,3764635,2,90
1735,3764636,2,54
1735,3442545,2,192
5688892,1742,2,209
4037292,2466,2,260
1735,3442544,2,192
2472,3893395,2,201
2472,3893394,2,215
2230,5289097,2,268
5709980,1964,2,254
1953,4036978,2,207
1692,3764993,2,192
1953,4036979,2,246
1975,4036987,2,268
2061,4045031,2,201
2212,4045033,2,282
3716935,1729,2,201
3812927,1845,2,226
1855,2222,2,150
4028973,3442547,2,206
4028973,3442548,2,207
1964,3687088,2,242
1964,3687089,2,234
1964,1965,2,600
3812976,2363,2,208
2219,4651134,2,243
1964,1966,2,257
2502,3442430,2,192
3807585,1733,2,229
2212,4035729,2,243
2502,3442431,2,191
1824,3926186,2,241
1824,3926187,2,254
1824,3926188,2,213
3764785,1824,2,221
1824,3926189,2,288
1996,4378089,2,208
2472,5289098,2,201
1996,4378088,2,216
5709977,2230,2,268
2212,3666723,2,243
2187,2185,2,96
2212,5018143,2,282
2212,3764652,2,243
1953,4044988,2,194
5688908,1953,2,195
2212,3764651,2,257
1824,3926190,2,280
1735,5122016,2,220
1735,5122015,2,225
5709974,2472,2,215
5761986,2110,2,229
2367,4651123,2,241
2363,5122008,2,233
2367,4651124,2,278
2363,5122007,2,254
3741052,2212,2,207
2363,5122006,2,241
1964,4016326,2,243
3764711,2363,2,223
1964,4016327,2,248
2363,3687415,2,280
1964,4016324,2,243
1964,4016325,2,223
2472,4036927,2,215
1957,3666671,2,243
4037298,2363,2,207
4037270,2208,2,246
2159,5138198,2,277
3765208,2312,2,226
2363,3687413,2,216
2363,3687414,2,288
2363,3687411,2,252
2363,3687412,2,252
3765207,2312,2,145
2152,4211800,2,214
3765430,2411,2,226
2312,3748044,2,145
2312,3748045,2,209
1964,3687087,2,282
2466,5289103,2,260
3765209,1733,2,211
1964,3687086,2,278
1692,3764968,2,191
2110,3740300,2,229
4473150,2363,2,213
1964,3687469,2,241
2487,4036865,2,246
4996994,2208,2,200
5018391,2034,2,206
2110,3740339,2,201
1735,4473000,2,208
4037273,2110,2,229
1721,3926197,2,206
1735,4036892,2,54
1721,3926198,2,260
1735,4036893,2,208
4472871,1953,2,196
1735,4036891,2,26
2363,3687473,2,251
2466,5289155,2,285
1824,5121383,2,265
1824,5121382,2,235
1824,5121381,2,235
5727627,2219,2,246
3749769,1957,2,198
2442,3926192,2,279
5727629,2219,2,248
3764748,2363,2,221
4739200,2472,2,201
1824,3764967,2,213
1729,4770179,2,215
1824,3764966,2,235
2219,4439501,2,269
1964,3687242,2,282
2185,2186,2,80
2442,3926191,2,232
4028973,5138206,2,206
4028973,5138207,2,207
1957,5657323,2,198
4037293,1733,2,221
1729,4770186,2,202
1645,5138046,2,261
2034,3764610,2,283
1953,5018140,2,193
1953,5018141,2,194
1975,3687427,2,247
3754275,2040,2,216
5688895,2478,2,206
2212,3666771,2,243
4009667,2363,2,251
4037251,1824,2,252
2185,4472998,2,212
4009617,1824,2,226
2219,3926439,2,218
2034,3764649,2,206
5682059,1729,2,202
1964,3687241,2,242
2413,5121402,2,208
2413,5121401,2,54
2413,5121400,2,26
2153,4036933,2,206
2375,1764,2,137
4726733,1733,2,229
2411,5289104,2,221
3764438,1996,2,270
3807561,1957,2,270
1964,4439500,2,269
1964,4439501,2,269
1964,3926439,2,218
1721,5289103,2,260
2219,5454905,2,267
2219,5454906,2,278
5018390,1677,2,270
4028974,5161412,2,315
2219,2155,2,130
3765206,1845,2,209
4009617,2363,2,226
4028974,5161413,2,207
1824,3813112,2,225
1824,3813113,2,225
1824,3813114,2,210
1824,3813115,2,238
2525,1763,2,90
1824,3813116,2,208
2219,5454904,2,267
1964,3687428,2,242
1964,3687429,2,278
2413,4473000,2,208
2413,4889620,2,243
2367,5138197,2,241
5709979,1964,2,243
2367,5138196,2,190
2411,3926196,2,237
2076,2208,2,72
5727627,1964,2,246
2411,3926195,2,197
3749790,2212,2,281
1824,5289150,2,216
2502,3764968,2,191
3807631,2153,2,206
1824,5289151,2,288
5709976,1975,2,247
1964,5454894,2,282
2312,3813067,2,209
2472,4036988,2,201
5018394,2153,2,283
2466,3813064,2,285
1824,3764995,2,221
3807565,2208,2,225
2061,4211808,2,229
1824,5289149,2,225
1824,3764994,2,190
3807567,2034,2,283
3764750,2040,2,261
5682053,2413,2,54
3764438,2185,2,270
1729,3764843,2,215
1731,4045010,2,232
4473148,2363,2,225
1964,5454895,2,254
3812919,2219,2,230
1957,4035729,2,243
1828,3764637,2,278
2502,5138045,2,230
2223,1855,2,120
2219,3687086,2,278
3764696,2159,2,261
2219,3687087,2,282
2219,3687088,2,242
2219,3687089,2,234
1731,3687417,2,279
2367,4472984,2,278
1731,5289152,2,232
4726734,1721,2,285
2061,4211801,2,212
1731,3687416,2,232
5710036,1964,2,218
